Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Transaction ID,Itemization Type
31/07/2024,21:21:44,None,Custom Amount,-1,-$454.55,$0.00,-$454.55,BB7QUPo4AHiXAlgRzrwOPmmeV,
31/07/2024,21:19:24,None,Custom Amount,1,$454.55,$0.00,$454.55,5RlcqblFPNIF2FjCWNrd1RIgZo9YY,
31/07/2024,20:29:33,None,Gloss Varnish,1,$4.55,$0.00,$4.55,vc9goP8RfTZVL8IiiOBiqPdevHdZY,Service
31/07/2024,19:20:19,None,Gloss Varnish,1,$4.54,$0.00,$4.54,7Qi5rQe6JrEk0YTmVe5iqRG9h0LZY,Service
31/07/2024,18:57:02,None,Angel - Small,1,$31.77,$0.00,$31.77,FBmMEjnsqbLJTXc5BSPbdNux5rUZY,Physical Good
31/07/2024,18:55:06,None,Angel - Small,1,$31.77,$0.00,$31.77,hfuoF1dsgLAC8NSqPdOWY9JYR36YY,Physical Good
31/07/2024,18:38:09,Beverages,Water - Bottle,1,$2.73,$0.00,$2.73,BHqCGRMp1Xp9cAE0Ike1pr5n98eZY,Physical Good
31/07/2024,17:58:11,None,Ducky - Star,1,$40.91,$0.00,$40.91,Jfi3rgcSifI2cbECSf0dMYfp4TVZY,Physical Good
31/07/2024,17:52:20,Couple,Couple - Banana,1,$49.92,$0.00,$49.92,Bdl4hTSgDR8YvNZhrHA3kejMzk8YY,Physical Good
31/07/2024,17:52:20,Beverages,Soft Drink - Can,1,$2.72,$0.00,$2.72,Bdl4hTSgDR8YvNZhrHA3kejMzk8YY,Physical Good
31/07/2024,17:32:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,bYEqNDwuETbEFNbyKtIqPFJqMtSZY,Service
31/07/2024,15:34:01,None,Amelia Britchford's Booking this Saturday 3/08.,1,$25.00,$0.00,$25.00,LCFWS8SEt6siklYLW91BmKxoVdUZY,
31/07/2024,15:29:16,Skull Panda,Skull Panda 4,1,$40.91,$0.00,$40.91,v6aHwJdFIJemUAc2BAGecDPSO78YY,Physical Good
31/07/2024,14:56:13,None,Lion - Large,1,$36.86,-$6.00,$30.86,BzWtKhpSKFJiUuSoT0pS6jTsRY6YY,Physical Good
31/07/2024,14:56:13,Beverages,Drink - Banana Milk,1,$3.40,$0.00,$3.40,BzWtKhpSKFJiUuSoT0pS6jTsRY6YY,Physical Good
31/07/2024,14:34:02,None,Elephant,1,$32.25,-$5.25,$27.00,rKROC82jE3vswbvOmDwqSQxqVDBZY,Physical Good
31/07/2024,14:34:02,None,Ltd Ed - Bear Strawberry,1,$41.47,-$6.75,$34.72,rKROC82jE3vswbvOmDwqSQxqVDBZY,Physical Good
31/07/2024,13:44:00,None,Elephant,1,$32.25,-$5.25,$27.00,nMf0IdX5j1Y0XFxB4X6IDm8itSbZY,Physical Good
31/07/2024,13:44:00,None,Fox Nine Tailed - Large,1,$50.68,-$8.25,$42.43,nMf0IdX5j1Y0XFxB4X6IDm8itSbZY,Physical Good
31/07/2024,13:44:00,None,Rabbit - Beanie 1,1,$36.86,-$6.00,$30.86,nMf0IdX5j1Y0XFxB4X6IDm8itSbZY,Physical Good
31/07/2024,12:01:15,None,Cat Lady - Bottle,1,$36.86,-$6.00,$30.86,TGxEyEHrWmvsKv1jFpefyUOOYULZY,Physical Good
31/07/2024,12:01:15,None,doreamon batman,1,$46.07,-$7.50,$38.57,TGxEyEHrWmvsKv1jFpefyUOOYULZY,Physical Good
30/07/2024,21:51:04,None,Take-home kit,1,$2.72,$0.00,$2.72,5tRrMGSTD7mAtxVHe5mtFLiXALXZY,Physical Good
30/07/2024,21:00:58,None,Dora,1,$36.31,$0.00,$36.31,n2SN5HZ45fxCX2NIizmVHCTqFuaZY,Physical Good
30/07/2024,19:46:46,None,Cute Dragon,1,$36.30,$0.00,$36.30,BjQE1PYkQiUZ3yCd8GmcJT43YMQZY,Physical Good
30/07/2024,19:46:46,None,Baby Dragon,1,$36.31,$0.00,$36.31,BjQE1PYkQiUZ3yCd8GmcJT43YMQZY,Physical Good
30/07/2024,18:10:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,1lm9dpYneqnXVlgRTAXkYyD7ohJZY,Service
30/07/2024,18:10:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,1lm9dpYneqnXVlgRTAXkYyD7ohJZY,Service
30/07/2024,17:33:59,None,Gloss Varnish,1,$4.54,$0.00,$4.54,VdqHGppC5DLDFkryOj9m6J9mi99YY,Service
30/07/2024,17:31:03,None,Skull Panda - Rabbit Trainer,1,$45.38,$0.00,$45.38,JzOkxCZhAaFelNA81H0F782ixITZY,Physical Good
30/07/2024,17:31:03,None,Gloss Varnish,1,$4.54,$0.00,$4.54,JzOkxCZhAaFelNA81H0F782ixITZY,Service
30/07/2024,17:30:29,None,Fox Nine Tailed - Large,1,$49.92,$0.00,$49.92,ZxnbvfT30wVrBS7KcNDV09A08RGZY,Physical Good
